Locality,City,Type,Months,Year,Price Range,Min_Price,Max_Price,Average Price,Q-o-Q,QOQ_missing
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,11900-20300,11900,20300,16100,1,1
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,11800-20200,11800,20200,16000,1,1
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,11700-20100,11700,20100,15900,1,1
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,11600-20000,11600,20000,15800,1,1
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,11500-19900,11500,19900,15700,1,1
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,11400-19800,11400,19800,15600,1,1
90 Feet Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,11300-19700,11300,19700,15500,1,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,16091-26999,16091,26999,21545,0.5,0
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,15999-26892,15999,26892,21446,0.5,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,14200-25500,14200,25500,19850,5,0
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,13600-24300,13600,24300,18950,2,0
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,13400-24000,13400,24000,18700,1,0
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,13200-23800,13200,23800,18500,1,0
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,13100-23500,13100,23500,18300,0,0
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,13000-23400,13000,23400,18200,0.5,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,12800-23000,12800,23000,17900,1,0
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,12600-22800,12600,22800,17700,1,0
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,12500-22600,12500,22600,17550,1,0
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,12400-22500,12400,22500,17450,1,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,12200-22200,12200,22200,17200,1,0
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,12000-22000,12000,22000,17000,1,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,11900-21800,11900,21800,16850,1,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,11800-21700,11800,21700,16750,1,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,11600-21400,11600,21400,16500,1,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,11400-21200,11400,21200,16300,1,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,11300-21100,11300,21100,16200,1,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,11200-21000,11200,21000,16100,1,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,11100-20900,11100,20900,16000,1,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,11000-20800,11000,20800,15900,1,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,10900-20700,10900,20700,15800,1,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,10800-20600,10800,20600,15700,1,1
Aarey Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,10700-20500,10700,20500,15600,1,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,16515-28409,16515,28409,22462,-30.6,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,23500-41200,23500,41200,32350,3,0
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,22800-40000,22800,40000,31400,3,0
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,22100-39000,22100,39000,30550,2,0
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,21700-38500,21700,38500,30100,1,0
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,21400-38000,21400,38000,29700,1,0
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,21200-37800,21200,37800,29500,0,0
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,21000-37500,21000,37500,29250,0.5,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,20800-37200,20800,37200,29000,-1,0
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,20600-37000,20600,37000,28800,-1,0
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,20500-36800,20500,36800,28650,-1,0
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,20400-36700,20400,36700,28550,-1,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,20200-36400,20200,36400,28300,-1,0
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,20000-36200,20000,36200,28100,-1,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,19900-36000,19900,36000,27950,-1,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,19800-35900,19800,35900,27850,-1,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,19600-35600,19600,35600,27600,-1,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,19400-35400,19400,35400,27400,-1,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,19300-35300,19300,35300,27300,-1,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,19200-35200,19200,35200,27200,-1,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,19100-35100,19100,35100,27100,-1,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,19000-35000,19000,35000,27000,-1,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,18900-34900,18900,34900,26900,-1,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,18800-34800,18800,34800,26800,-1,1
Adi Shankaracharya Marg,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,18700-34700,18700,34700,26700,-1,1
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,14900-25700,14900,25700,20300,2,0
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,14800-25600,14800,25600,20200,1,0
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,14597-25248,14597,25248,19922,1,0
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,14500-25000,14500,25000,19750,0,0
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,14500-25000,14500,25000,19750,0,0
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,14500-25000,14500,25000,19750,0,0
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,14300-24800,14300,24800,19550,1,0
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,14100-24500,14100,24500,19300,1,0
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,13900-24200,13900,24200,19050,1,0
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,13700-24000,13700,24000,18850,1,0
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,13500-23800,13500,23800,18650,1,1
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,13300-23500,13300,23500,18400,1,0
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,13100-23200,13100,23200,18150,1,1
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,13000-23000,13000,23000,18000,1,1
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,12800-22700,12800,22700,17750,1,1
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,12700-22500,12700,22500,17600,1,1
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,12600-22400,12600,22400,17500,1,1
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,12500-22300,12500,22300,17400,1,1
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,12400-22200,12400,22200,17300,1,1
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,12300-22100,12300,22100,17200,1,1
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,12200-22000,12200,22000,17100,1,1
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,12100-21900,12100,21900,17000,1,1
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,12000-21800,12000,21800,16900,1,1
Agrawal Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,11900-21700,11900,21700,16800,1,1
Agripada,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,17787-30859,17787,30859,24323,10,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,21072-33055,21072,33055,27064,2,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,21322-33962,21322,33962,27642,3,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,21199-35947,21199,35947,28573,1,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,20804-35697,20804,35697,28251,1,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,21056-36159,21056,36159,28607,5,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,20362-34377,20362,34377,27370,3,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,19113-33975,19113,33975,26544,3,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,20202-34668,20202,34668,27435,1,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,21515-33749,21515,33749,27632,6,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,22184-36581,22184,36581,29382,5,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,21987-34038,21987,34038,28013,2,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,21482-33521,21482,33521,27502,3,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,11276-17891,11276,17891,14584,4,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,11854-18429,11854,18429,15142,2,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,12138-18680,12138,18680,15409,2,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,21123-33551,21123,33551,27337,4,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,22140-34840,22140,34840,28490,6,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,20580-33148,20580,33148,26864,2,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,21282-33802,21282,33802,27542,4,1
Agripada,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,21707-31868,21707,31868,26788,1,0
Agripada,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,21831-32095,21831,32095,26963,1.5,1
Agripada,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,24399-35822,24399,35822,30110,1.5,1
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,15375-26603,15375,26603,20989,5,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,14814-25355,14814,25355,20085,11,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,13156-23179,13156,23179,18168,6,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,12273-21903,12273,21903,17088,3,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,12113-21035,12113,21035,16574,4,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,12268-19498,12268,19498,15883,1,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,12335-19176,12335,19176,15755,3,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,11914-18677,11914,18677,15295,2,1
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,11757-18847,11757,18847,15302,0.4,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,11309-19169,11309,19169,15239,2,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,11136-18624,11136,18624,14880,0.1,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,11388-18327,11388,18327,14858,3,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,11004-17759,11004,17759,14382,1,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,11276-17891,11276,17891,14584,4,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,11854-18429,11854,18429,15142,2,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,12138-18680,12138,18680,15409,2,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,11702-19871,11702,19871,15787,0.2,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,11765-19731,11765,19731,15748,1,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,12039-19776,12039,19776,15908,2,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,11847-19431,11847,19431,15639,3,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,11918-20236,11918,20236,16077,4,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,11813-19140,11813,19140,15477,6,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,11040-18210,11040,18210,14625,1,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,10988-18054,10988,18054,14521,8,0
Akurli Nagar,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,10773-16173,10773,16173,13473,7,0
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,15345-25438,15345,25438,20392,3,0
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,15093-24643,15093,24643,19868,3,0
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,14708-23761,14708,23761,19234,3,0
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,14407-23121,14407,23121,18764,2,0
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,14211-22738,14211,22738,18475,3,0
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,13884-21974,13884,21974,17929,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,12500-22500,12500,22500,17500,3,0
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,12000-21500,12000,21500,16800,3,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,11500-20000,11500,20000,16200,3,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,11000-19000,11000,19000,15500,3,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,10500-18000,10500,18000,15000,2,0
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,10000-17000,10000,17000,14500,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,9500-16500,9500,16500,14000,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,9000-15000,9000,15000,13500,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,8500-14500,8500,14500,13000,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,8000-14000,8000,14000,12500,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,7500-13500,7500,13500,12000,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,7000-13000,7000,13000,11500,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,6500-12500,6500,12500,11000,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,6000-12000,6000,12000,10500,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,5500-11500,5500,11500,10000,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,5000-11000,5000,11000,9500,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,4500-10500,4500,10500,9000,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,4000-10000,4000,10000,8500,2.5,1
Akurli Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,3500-9500,3500,9500,8000,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,13862-23751,13862,23751,18806,2,0
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,13652-23132,13652,23132,18392,2,0
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,13392-22612,13392,22612,18002,4,0
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,13024-21712,13024,21712,17368,3,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,14000-25000,14000,25000,19000,2,0
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,13500-24000,13500,24000,18500,1.5,0
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,13000-23000,13000,23000,18000,2,0
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,12500-22500,12500,22500,17500,1.75,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,12000-22000,12000,22000,17000,1.75,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,11500-21500,11500,21500,16500,1.75,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,11000-21000,11000,21000,16000,3,0
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,10500-20500,10500,20500,15500,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,10000-20000,10000,20000,15000,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,9500-19500,9500,19500,14500,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,9000-19000,9000,19000,14000,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,8500-18500,8500,18500,13500,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,8000-18000,8000,18000,13000,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,7500-17500,7500,17500,12500,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,7000-17000,7000,17000,12000,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,6500-16500,6500,16500,11500,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,6000-16000,6000,16000,11000,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,5500-15500,5500,15500,10500,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,5000-15000,5000,15000,10000,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,4500-14500,4500,14500,9500,2.5,1
Ambedkar Road,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,4000-14000,4000,14000,9000,2.5,1
Amboli,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,17961-27215,17961,27215,22588,1,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,18482-26943,18482,26943,22712,1,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,18052-27803,18052,27803,22927,1,1
Amboli,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,17963-27916,17963,27916,22940,3,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,17447-27081,17447,27081,22264,3,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,17454-28229,17454,28229,22841,9,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,17001-24844,17001,24844,20923,4,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,17423-26231,17423,26231,21827,2,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,17213-27477,17213,27477,22345,6,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,16737-25319,16737,25319,21028,1,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,16658-25937,16658,25937,21298,4,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,16448-24596,16448,24596,20522,2,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2021,16098-23995,16098,23995,20046,1,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2021,16024-23595,16024,23595,19809,3,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2021,15541-22762,15541,22762,19151,4,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2020,15381-21496,15381,21496,18438,1,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2020,15018-21342,15018,21342,18180,2.5,1
Amboli,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2020,14331-22066,14331,22066,18198,1,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2020,14231-22684,14231,22684,18457,5,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2019,14262-24570,14262,24570,19416,4,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2019,15474-24883,15474,24883,20178,3,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2019,15910-25907,15910,25907,20908,2,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2019,15817-25362,15817,25362,20590,1,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2018,15896-25583,15896,25583,20739,2,0
Amboli,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2018,16654-25858,16654,25858,21256,2,0
Andheri,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2024,19677-32699,19677,32699,26188,2,0
Andheri,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2024,19149-32204,19149,32204,25676,3,0
Andheri,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2024,18535-31158,18535,31158,24847,0.3,0
Andheri,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2023,18527-31026,18527,31026,24776,2,0
Andheri,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2023,18199-30464,18199,30464,24331,2,0
Andheri,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2023,17804-29797,17804,29797,23800,3,0
Andheri,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2023,17289-29052,17289,29052,23171,2.5,1
Andheri,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2022,17330-28970,17330,28970,23150,1,0
Andheri,Mumbai,Residential - Multi Storey Apartment,Jul-Sep,2022,17078-28598,17078,28598,22838,2,0
Andheri,Mumbai,Residential - Multi Storey Apartment,Apr-Jun,2022,16751-27870,16751,27870,22311,1.5,1
Andheri,Mumbai,Residential - Multi Storey Apartment,Jan-Mar,2022,16696-27901,16696,27901,22298,0.4,0
Andheri,Mumbai,Residential - Multi Storey Apartment,Oct-Dec,2021,16643-27760,16643,27760,22202,2,0
